airport_id,icao,iata,name,lat,long,country,alt,utcoffset,tzolson
2473,SBPC,POO,Poços de Caldas - Embaixador Walther Moreira Salles Airport,-21.843000411987,-46.567901611328,Brazil,4135,-3,America/Sao_Paulo
2474,SBPF,PFB,Lauro Kurtz Airport,-28.243999,-52.326599,Brazil,2376,-3,America/Sao_Paulo
2475,SBPK,PET,João Simões Lopes Neto International Airport,-31.718399,-52.327702,Brazil,59,-3,America/Sao_Paulo
2476,SBPL,PNZ,Senador Nilo Coelho Airport,-9.36240959167481,-40.5690994262695,Brazil,1263,-3,America/Fortaleza
2477,SBPN,PNB,Porto Nacional Airport,-10.7194004058838,-48.3997001647949,Brazil,870,-3,America/Fortaleza
2478,SBPP,PMG,Ponta Porã Airport,-22.5496006011963,-55.7025985717773,Brazil,2156,-4,America/Campo_Grande
2479,SBPV,PVH,Governador Jorge Teixeira de Oliveira Airport,-8.70928955078125,-63.9023017883301,Brazil,290,-4,America/Boa_Vista
2480,SBRB,RBR,Plácido de Castro Airport,-9.86888885498047,-67.8980560302734,Brazil,633,-5,America/Rio_Branco
2481,SBRF,REC,Guararapes - Gilberto Freyre International Airport,-8.12648963928223,-34.9235992431641,Brazil,33,-3,America/Fortaleza
2482,SBRJ,SDU,Santos Dumont Airport,-22.9104995728,-43.1631011963,Brazil,11,-3,America/Sao_Paulo
2483,SBRP,RAO,Leite Lopes Airport,-21.1363887786865,-47.776668548584,Brazil,1806,-3,America/Sao_Paulo
2484,SBSC,SNZ,Santa Cruz Air Force Base,-22.9324,-43.719101,Brazil,10,-3,America/Sao_Paulo
2485,SBSJ,SJK,Professor Urbano Ernesto Stumpf Airport,-23.2292003631592,-45.861499786377,Brazil,2120,-3,America/Sao_Paulo
2486,SBSL,SLZ,Marechal Cunha Machado International Airport,-2.58536005020142,-44.2341003417969,Brazil,178,-3,America/Fortaleza
2487,SBSP,CGH,Congonhas Airport,-23.6261100769043,-46.6563873291016,Brazil,2631,-3,America/Sao_Paulo
2488,SBSR,SJP,Prof. Eribelto Manoel Reino State Airport,-20.8166007996,-49.40650177,Brazil,1784,-3,America/Sao_Paulo
2489,SBST,SSZ,Base Aérea de Santos Airport,-23.9280567169189,-46.2997207641602,Brazil,10,-3,America/Sao_Paulo
2490,SBSV,SSA,Deputado Luiz Eduardo Magalhães International Airport,-12.9086112976,-38.3224983215,Brazil,64,-3,America/Fortaleza
2491,SBTB,TMT,Trombetas Airport,-1.489599943161,-56.396800994873,Brazil,287,-3,America/Belem
2492,SBTE,THE,Senador Petrônio Portela Airport,-5.0599398613,-42.8235015869,Brazil,219,-3,America/Fortaleza
2493,SBTF,TFF,Tefé Airport,-3.38294005394,-64.7240982056,Brazil,188,-4,America/Boa_Vista
2494,SBTK,TRQ,Tarauacá Airport,-8.1552600860596,-70.783302307129,Brazil,646,-5,America/Rio_Branco
2495,SBTL,TEC,Telêmaco Borba Airport,-24.3178005218506,-50.6515998840332,Brazil,2610,-3,America/Sao_Paulo
2496,SBTS,,Tiriós Airport,2.22347,-55.946098,Brazil,1127,-3,America/Belem
2497,SBTT,TBT,Tabatinga Airport,-4.2556700706482,-69.93579864502,Brazil,279,-4,America/Boa_Vista
2498,SBTU,TUR,Tucuruí Airport,-3.7860100269318,-49.72029876709,Brazil,830,-3,America/Belem
2499,SBUA,SJL,São Gabriel da Cachoeira Airport,-0.14835,-66.9855,Brazil,251,-4,America/Boa_Vista
2500,SBUF,PAV,Paulo Afonso Airport,-9.4008798599243,-38.250598907471,Brazil,883,-3,America/Fortaleza
2501,SBUG,URG,Rubem Berta Airport,-29.7821998596,-57.0382003784,Brazil,256,-3,America/Sao_Paulo
2502,SBUL,UDI,Ten. Cel. Aviador César Bombonato Airport,-18.883612,-48.225277,Brazil,3094,-3,America/Sao_Paulo
2503,SBUR,UBA,Mário de Almeida Franco Airport,-19.764722824097,-47.966110229492,Brazil,2655,-3,America/Sao_Paulo
2504,SBVG,VAG,Major Brigadeiro Trompowsky Airport,-21.5900993347,-45.4733009338,Brazil,3025,-3,America/Sao_Paulo
2505,SBVH,BVH,Brigadeiro Camarão Airport,-12.694399833679,-60.098300933838,Brazil,2018,-4,America/Boa_Vista
2506,SBVT,VIX,Eurico de Aguiar Salles Airport,-20.258057,-40.286388,Brazil,11,-3,America/Sao_Paulo
2507,SBYA,,Iauaretê Airport,0.6075000166893,-69.18579864502,Brazil,345,-4,America/Boa_Vista
2508,SBYS,QPS,Campo Fontenelle Airport,-21.9846000671387,-47.3348007202148,Brazil,1968,-3,America/Sao_Paulo
2509,SCAR,ARI,Chacalluta Airport,-18.348499,-70.338699,Chile,167,-4,America/Santiago
2510,SCBA,BBA,Balmaceda Airport,-45.9160995483398,-71.6894989013672,Chile,1722,-4,America/Santiago
2511,SCBQ,,El Bosque Airport,-33.5617980957031,-70.6884002685547,Chile,1844,-4,America/Santiago
2512,SCCC,CCH,Chile Chico Airport,-46.5833015441895,-71.6874008178711,Chile,1070,-4,America/Santiago
2513,SCCF,CJC,El Loa Airport,-22.4981994628906,-68.9036026000977,Chile,7543,-4,America/Santiago
2514,SCCH,YAI,Gral. Bernardo O´Higgins Airport,-36.5825004577637,-72.0314025878906,Chile,495,-4,America/Santiago
2515,SCCI,PUQ,Pdte. Carlos Ibañez del Campo Airport,-53.002602,-70.854599,Chile,139,-4,America/Santiago
2516,SCCY,GXQ,Teniente Vidal Airport,-45.5942001342774,-72.1061019897461,Chile,1020,-4,America/Santiago
2517,SCDA,IQQ,Diego Aracena Airport,-20.5352001190186,-70.1812973022461,Chile,155,-4,America/Santiago
2518,SCEL,SCL,Comodoro Arturo Merino Benítez International Airport,-33.3930015563965,-70.7857971191406,Chile,1555,-4,America/Santiago
2519,SCFA,ANF,Andrés Sabella Gálvez International Airport,-23.444501,-70.445099,Chile,455,-4,America/Santiago
2520,SCFM,WPR,Capitan Fuentes Martinez Airport Airport,-53.2537002563477,-70.3191986083984,Chile,104,-4,America/Santiago
2521,SCFT,FFU,Futaleufú Airport,-43.1892013549805,-71.8510971069336,Chile,1148,-4,America/Santiago
2522,SCGE,LSQ,María Dolores Airport,-37.4016990661621,-72.4253997802734,Chile,374,-4,America/Santiago
2523,SCGZ,WPU,Guardiamarina Zañartu Airport,-54.9310989379883,-67.6262969970703,Chile,88,-4,America/Santiago
2524,SCIE,CCP,Carriel Sur Airport,-36.772701,-73.063103,Chile,26,-4,America/Santiago
2525,SCIP,IPC,Mataveri Airport,-27.1648006439,-109.42199707,Chile,227,-6,Pacific/Easter
2526,SCJO,ZOS,Cañal Bajo Carlos - Hott Siebert Airport,-40.611198425293,-73.0609970092773,Chile,187,-4,America/Santiago
2527,SCLL,VLR,Vallenar Airport,-28.596399307251,-70.7559967041016,Chile,1725,-4,America/Santiago
2528,SCRG,QRC,De La Independencia Airport,-34.173698425293,-70.7757034301758,Chile,1446,-4,America/Santiago
2529,SCRM,TNM,Teniente Rodolfo Marsh Martin Base,-62.1907997131,-58.9866981506,Antarctica,147,12,Antarctica/South_Pole
2530,SCSE,LSC,La Florida Airport,-29.916201,-71.199501,Chile,481,-4,America/Santiago
2531,SCTB,,Eulogio Sánchez Airport,-33.456298828125,-70.5466995239258,Chile,2129,-4,America/Santiago
2532,SCTC,PZS,Maquehue Airport,-38.766799926758,-72.637100219727,Chile,304,-4,America/Santiago
2533,SCTE,PMC,El Tepual Airport,-41.4388999938965,-73.0940017700195,Chile,294,-4,America/Santiago
2534,SCTN,WCH,Chaitén Airport,-42.9328002929688,-72.6990966796875,Chile,13,-4,America/Santiago
2535,SCVD,ZAL,Pichoy Airport,-39.6500015259,-73.0860977173,Chile,59,-4,America/Santiago
2536,SEAM,ATF,Chachoán Airport,-1.21206998825073,-78.5746002197266,Ecuador,8502,-5,America/Guayaquil
2537,SECM,,Hacienda Clementina Airport,-1.70626997947693,-79.3788986206055,Ecuador,328,-5,America/Guayaquil
2538,SECO,OCC,Francisco De Orellana Airport,-0.46288600564003,-76.9868011474609,Ecuador,834,-5,America/Guayaquil
2539,SECU,CUE,Mariscal Lamar Airport,-2.88947,-78.984398,Ecuador,8306,-5,America/Guayaquil
2540,SEGS,GPS,Seymour Airport,-0.453758001327515,-90.2658996582031,Ecuador,207,-6,Pacific/Galapagos
2541,SEGU,GYE,José Joaquín de Olmedo International Airport,-2.15741991997,-79.8835983276,Ecuador,19,-5,America/Guayaquil
2542,SEGZ,,Gualaquiza Airport,-3.42320990562439,-78.5670013427734,Ecuador,2640,-5,America/Guayaquil
2543,SEIB,,Atahualpa Airport,0.338418990373611,-78.1363983154297,Ecuador,7304,-5,America/Guayaquil
2544,SEKK,,Km 192 Airport,0.184202998876572,-79.3919982910156,Ecuador,1247,-5,America/Guayaquil
2545,SELJ,,Hacienda La Julia Airport,-1.70438003540039,-79.5522994995117,Ecuador,50,-5,America/Guayaquil
2546,SELT,LTX,Cotopaxi International Airport,-0.906833,-78.615799,Ecuador,9205,-5,America/Guayaquil
2547,SEMA,MRR,Jose Maria Velasco Ibarra Airport,-4.37823009491,-79.9410018921,Ecuador,1508,-5,America/Guayaquil
2548,SEMC,XMS,Coronel E Carvajal Airport,-2.29917001724243,-78.1207962036133,Ecuador,3452,-5,America/Guayaquil
2549,SEMH,MCH,General Manuel Serrano Airport,-3.2689,-79.961601,Ecuador,11,-5,America/Guayaquil
2550,SEMO,,El Carmen Airport,-2.06700992584229,-76.975700378418,Ecuador,960,-5,America/Guayaquil
2551,SEMT,MEC,Eloy Alfaro International Airport,-0.94607800245285,-80.6788024902344,Ecuador,48,-5,America/Guayaquil
2552,SEMX,,Maragrosa Airport,-2.85109996795654,-79.803596496582,Ecuador,18,-5,America/Guayaquil
2553,SEPS,,Amable Calle Gutierrez Airport,-3.31966996192932,-79.7692031860352,Ecuador,22,-5,America/Guayaquil
2554,SEPV,PVO,Reales Tamarindos Airport,-1.04165005683899,-80.4721984863281,Ecuador,130,-5,America/Guayaquil
2555,SEQE,,Quevedo Airport,-0.989400029182434,-79.4651031494141,Ecuador,350,-5,America/Guayaquil
2556,SEQM,UIO,Mariscal Sucre International Airport,-0.129166666667,-78.3575,Ecuador,7841,-5,America/Guayaquil
2557,SERB,,Chimborazo Airport,-1.65342998504639,-78.6560974121094,Ecuador,9151,-5,America/Guayaquil
2558,SERO,ETR,Santa Rosa International Airport,-3.441986,-79.996957,Ecuador,20,-5,America/Guayaquil
2559,SESA,SNC,General Ulpiano Paez Airport,-2.20499,-80.988899,Ecuador,18,-5,America/Guayaquil
